,Name,Nodes,Edges,Colors,Solvable
3,Graph 4-4,4,4,2,14
4,Graph 4-5,4,5,2,16
5,Graph 4-6,4,6,2,16
12,Graph 5-7,5,6,2,32
13,Graph 5-8,5,7,2,32
16,Graph 5-11,5,6,2,32
19,Graph 5-14,5,5,2,22
20,Graph 5-15,5,6,2,32
21,Graph 5-16,5,7,2,32
22,Graph 5-17,5,8,2,32
23,Graph 5-18,5,7,2,32
24,Graph 5-19,5,8,2,32
25,Graph 5-20,5,9,2,32
26,Graph 5-21,5,10,2,32
39,Graph 6-13,6,8,2,64
40,Graph 6-14,6,9,2,64
51,Graph 6-25,6,7,2,56
52,Graph 6-26,6,8,2,64
64,Graph 6-38,6,7,2,64
65,Graph 6-39,6,8,2,64
68,Graph 6-42,6,8,2,64
69,Graph 6-43,6,9,2,64
70,Graph 6-44,6,9,2,64
71,Graph 6-45,6,10,2,64
73,Graph 6-47,6,6,2,32
74,Graph 6-48,6,7,2,64
75,Graph 6-49,6,8,2,64
79,Graph 6-53,6,7,2,64
80,Graph 6-54,6,8,2,64
81,Graph 6-55,6,9,2,64
82,Graph 6-56,6,9,2,64
83,Graph 6-57,6,9,2,64
84,Graph 6-58,6,10,2,64
92,Graph 6-66,6,8,2,64
93,Graph 6-67,6,9,2,64
94,Graph 6-68,6,9,2,64
95,Graph 6-69,6,10,2,64
96,Graph 6-70,6,11,2,64
97,Graph 6-71,6,10,2,64
98,Graph 6-72,6,9,2,64
99,Graph 6-73,6,10,2,64
100,Graph 6-74,6,11,2,64
101,Graph 6-75,6,12,2,64
102,Graph 6-76,6,7,2,64
105,Graph 6-79,6,8,2,64
106,Graph 6-80,6,9,2,64
107,Graph 6-81,6,9,2,64
108,Graph 6-82,6,8,2,64
109,Graph 6-83,6,9,2,64
111,Graph 6-85,6,9,2,64
112,Graph 6-86,6,10,2,64
113,Graph 6-87,6,10,2,64
114,Graph 6-88,6,11,2,64
117,Graph 6-91,6,10,2,64
118,Graph 6-92,6,10,2,64
119,Graph 6-93,6,11,2,64
120,Graph 6-94,6,12,2,64
121,Graph 6-95,6,8,2,64
122,Graph 6-96,6,8,2,64
123,Graph 6-97,6,9,2,64
124,Graph 6-98,6,10,2,64
125,Graph 6-99,6,9,2,64
126,Graph 6-100,6,10,2,64
127,Graph 6-101,6,10,2,64
128,Graph 6-102,6,11,2,64
129,Graph 6-103,6,12,2,64
130,Graph 6-104,6,13,2,64
131,Graph 6-105,6,11,2,64
132,Graph 6-106,6,11,2,64
133,Graph 6-107,6,11,2,64
134,Graph 6-108,6,12,2,64
135,Graph 6-109,6,12,2,64
136,Graph 6-110,6,13,2,64
137,Graph 6-111,6,14,2,64
138,Graph 6-112,6,15,2,64
